SCS,choco,z3
2,373529222.6827255,689664049.0914035
3,375501879.4518481,692898488.9419267
4,382177597.35577,705061915.2207342
5,371291955.03689986,685278334.3735546
6,387999842.2732594,714274813.146643
7,379488303.7062017,700036605.6345295
8,379790888.1586442,700662148.4401197
9,371461177.3343725,686070803.4561596
10,379931765.2021962,700545224.4946039
11,376137852.3796665,694300008.4435748
12,371316111.20445573,686059805.4022957
13,380252202.27403754,701043241.2532412
14,372930639.666738,688714931.6471359
15,370498890.7159123,685450674.3449274
16,360090192.41090804,666785774.3270999
17,375227492.8359893,692858408.1870402
18,364293968.35845894,674259327.100443
19,375096068.98728156,692512019.8072273
20,356684125.3307173,661685793.360728
