SCS,choco,z3
2,253655256.67800415,479092867.56746536
3,268336861.3512877,505637069.7001147
4,251608712.9793741,475495280.30613166
5,260486648.02112457,491623914.25026995
6,256158765.83691314,483788437.13318443
7,266741546.8761445,502826463.70358694
8,256159462.1115505,483930857.4025988
9,264535168.21745965,498918068.09618056
10,253996200.76780486,480158717.5255618
11,262411312.32860196,495292968.1423914
12,254810511.42388913,482083707.644033
13,255449228.2994675,482632963.0688977
14,262599193.22391096,495663616.2164689
15,253557042.64076966,479607205.2585898
16,253912835.87518618,480048864.2362395
17,264772241.93924958,499552832.5692175
18,255681697.11542138,483033478.7111339
19,262485908.1183291,495279144.7239283
20,258038565.917225,487170187.2757954
