SCS,choco,z3
2,333368583.74742866,619942260.3146064
3,335760814.75668865,624518981.028687
4,325415804.9497696,606307644.8685429
5,337309647.67376095,627308370.1621046
6,322998915.6595685,602316760.1600634
7,335339717.851077,624170600.1391289
8,335318293.76585346,623916457.252448
9,335280455.5237388,624367977.557493
10,326134647.1845077,608201403.5210736
11,334849930.99731827,623540147.7580132
12,327921222.8744378,611630730.2030473
13,337696891.47310716,627996233.1421827
14,323619774.35960186,603582403.1946675
15,337188976.1529752,626796004.275973
16,330631751.4349038,615643248.5073397
17,341113624.5832811,633814144.3931344
18,341961670.6235203,635489667.9213148
19,337299098.28579295,627291831.4931117
20,322285122.9724365,602368479.9567618
