SCS,choco,z3
2,158186449.12738037,303878227.4064634
3,157564645.9717578,302681673.9214937
4,166527255.7117354,319206132.47058177
5,157550359.37853405,302761418.470877
6,162203114.30972975,311293555.87677383
7,155711241.03035307,299372204.84952646
8,167289995.2390525,320689174.92476356
9,156237209.66991213,300410870.2667105
10,162210012.6823497,311429760.770548
11,157735987.71076027,303225216.52602935
12,165942933.0411656,318279628.46708393
13,171704753.45857027,328802020.1643473
14,161174143.93272862,309652641.2443166
15,161254670.6051898,309651803.8045906
16,161887018.59078866,310798136.30995506
17,166436505.71422896,319331799.89699435
18,159877987.48766178,307032056.31045264
19,155621910.00463668,299139602.13987607
20,156707407.90976724,301306585.40337527
