SCS,choco,z3
2,32386294.36993471,50321656.59045679
3,50619198.08896043,80719556.43891656
4,61164900.13378728,99699962.27415468
5,66217240.045836136,109912113.50606461
6,94325183.15969913,155122342.60486084
7,112263717.32989922,186497199.96954787
8,121334995.89920415,203217932.59558833
9,166864243.24459165,274940032.4695694
10,107807530.59126733,194797833.5731957
11,132559499.86408806,330426472.3803506
12,196217992.409965,457785513.8090101
13,190879747.93240854,465642161.8106793
14,176204860.94429678,436320699.2037041
15,327934595.5335193,718627157.0549235
16,463383842.0268063,973864257.319158
17,422968489.1889181,963979685.5225998
18,356559799.22204196,871917827.9978282
19,224813109.545936,573295379.5383413
20,460813899.41135824,1182151158.0222504
