SCS,choco,z3
2,17012742.743142165,29137292.59980843
3,20389821.727961604,36728997.95626177
4,26301352.865056098,47583267.362648904
5,32968590.627117038,59347545.6205135
6,44281557.13475853,79814228.99625227
7,51454323.39437712,93688612.27393389
8,62041776.40598107,112729595.31681554
9,74797277.48051853,135978340.33867833
10,78670546.7987853,144881256.49289116
11,82655016.99549384,219478218.60953888
12,108225723.35792707,277590378.5267537
13,91443066.01558769,248123500.43702137
14,100366282.496071,269957319.21403414
15,141919110.7240007,363424367.41977227
16,124303038.37734865,336082403.2021166
17,153310162.0004337,416432322.49659044
18,167748323.2510492,462263892.3295506
19,172141325.6731111,459408677.520037
20,169321091.227941,478754729.6976155
