SCS,choco,z3
2,24824671.336189054,39970897.37883246
3,29356329.544944286,50967027.27265621
4,44194258.91150625,75049210.51885289
5,43751989.5783642,76422018.11254072
6,54675382.58560597,96233568.76159222
7,73583798.18701313,129181547.56274225
8,77692774.08433098,137810746.9206629
9,96989435.04558197,172566892.47169083
10,132840989.1875345,233876187.60955834
11,86491369.8428728,225020261.93020764
12,114408490.21067181,296846123.3005495
13,113316035.93179747,308009586.01239914
14,142620752.2989175,383776636.5389064
15,199219298.08327585,516702576.39450794
16,137026217.22784987,400719785.3615551
17,179023967.7618013,530630465.3572388
18,278035253.67438626,839915542.8525984
19,318652193.1056471,968485436.4047886
20,255532515.93216258,981765908.1531612
