SCS,choco,z3
2,20502118.59461979,33979089.513615265
3,29393676.57061125,50661841.08943624
4,36869477.6136693,64058574.70358061
5,46706658.836620465,80543436.06975661
6,60988522.99693584,106581559.19236216
7,76905204.64488268,133997585.66607596
8,104235385.50781469,178159913.16781187
9,123570907.50664592,212496525.87949142
10,166180875.28219673,283405263.2368409
11,119738034.61673842,298149882.54214936
12,142461416.8044476,349651230.1790357
13,206679434.58728015,489992043.09146607
14,188683923.6755592,470804277.171172
15,289488030.73596126,661567788.4511333
16,289747357.456989,698790243.6644843
17,286470742.4674835,717861351.594756
18,422283983.24184895,1013654122.0038351
19,339183733.5658387,830100754.0346826
20,346772323.6053683,948630667.2678066
