SCS,choco,z3
2,17805253.261568114,30217679.86225829
3,26896045.732573632,46931773.86647484
4,35228804.045918494,61673118.10603387
5,43898546.06905322,76032066.01395239
6,56386188.69982328,98636241.12673542
7,60134113.5859645,107792789.24658817
8,87655246.55545557,152913278.39246213
9,99625760.14899361,176945887.02429804
10,122336923.92829603,216489792.12175813
11,158660003.19722825,367544245.8267254
12,141832662.98448405,349436169.8109154
13,197873442.93525952,473082120.83720905
14,135978668.89483455,352438819.77532023
15,157218499.44798073,402978771.44730943
16,267011974.64814362,644133855.0255225
17,302783454.65540445,759005143.4867125
18,203547487.9925885,542375521.8757194
19,212357404.76796877,558362861.0498408
20,404006321.4709659,1063586019.582506
